split,fold,epoch,batch,batch_size,batch_time_seconds,epoch_accumulated_time_seconds,total_accumulated_time_seconds,loss,precision,accuracy,recall,f1,learning_rate,difficulty_mean,difficulty_min,difficulty_max,difficulty_labels
test,0,1,1,32,0.7751470639923355,0.8363669560058042,0.8369982550066197,0.692638635635376,0.25806451612903225,0.5,0.47058823529411764,0.3333333333333333,3.125e-07,0.71875,0.0,2.0,easy|hard|medium
test,0,1,2,32,0.5258854669955326,1.3839073300041491,1.3845387380133616,0.6964640617370605,0.5,0.5,0.5,0.3816425120772947,6.25e-07,0.84375,0.0,2.0,easy|medium|hard
test,0,1,3,32,0.5274404550000327,1.9119187470059842,1.9125502090028021,0.6508352756500244,0.8225806451612903,0.65625,0.5416666666666666,0.46907993966817496,9.375000000000001e-07,0.875,0.0,2.0,medium|easy|hard
test,0,1,4,32,0.5306157380109653,2.4431086359982146,2.4437400250026258,0.7094459533691406,0.7666666666666666,0.5625,0.5625,0.45893719806763283,1.25e-06,0.9375,0.0,2.0,easy|medium|hard
test,0,1,5,32,0.5293299350014422,2.9730013980006333,2.973632847002591,0.6970573663711548,0.265625,0.53125,0.5,0.3469387755102041,1.5625e-06,0.8125,0.0,2.0,hard|easy|medium
test,0,1,6,32,0.5293258269957732,3.502927786001237,3.5035591990017565,0.7229618430137634,0.22580645161290322,0.4375,0.4666666666666667,0.30434782608695654,1.8750000000000003e-06,1.09375,0.0,2.0,medium|hard|easy
test,0,1,7,32,0.530485363007756,4.034020186998532,4.034651584006497,0.7073653936386108,0.48333333333333334,0.46875,0.49607843137254903,0.36374269005847953,2.1875000000000002e-06,0.96875,0.0,2.0,hard|easy|medium
test,0,1,8,32,0.5305718040035572,4.565158241006429,4.5657896640041145,0.7013746500015259,0.6428571428571428,0.5625,0.5625,0.49090909090909085,2.5e-06,0.90625,0.0,2.0,medium|easy|hard
test,0,1,9,32,0.5300304150005104,5.095746873004828,5.096378299000207,0.6451022624969482,0.6166666666666667,0.71875,0.533816425120773,0.5060034305317325,2.8125e-06,1.15625,0.0,2.0,hard|medium|easy
test,0,1,10,32,0.5290749660052825,5.625447532001999,5.626078878005501,0.6651449799537659,0.45977011494252873,0.5625,0.4858299595141701,0.4166666666666667,3.125e-06,0.9375,0.0,2.0,easy|hard|medium
test,0,1,11,32,0.5303712040040409,6.156398085004184,6.157029629001045,0.6984694004058838,0.25806451612903225,0.5,0.47058823529411764,0.3333333333333333,3.4375e-06,0.875,0.0,2.0,hard|easy|medium
test,0,1,12,32,0.5306024669989711,6.687615257993457,6.688246995006921,0.7583752870559692,0.13333333333333333,0.25,0.4,0.2,3.7500000000000005e-06,0.875,0.0,2.0,easy|hard|medium
test,0,1,13,32,0.5299393169989344,7.218159557000035,7.21879097900819,0.6823937892913818,0.5857142857142856,0.59375,0.5595238095238095,0.539313399778516,4.0625000000000005e-06,0.875,0.0,2.0,easy|hard|medium
test,0,1,14,32,0.530456206004601,7.7491527420061175,7.7497841130098095,0.6768091320991516,0.5971428571428572,0.53125,0.5674603174603174,0.5076923076923077,4.3750000000000005e-06,0.71875,0.0,2.0,hard|easy|medium
test,0,1,15,32,0.530475089995889,8.280242815002566,8.280874168005539,0.7050844430923462,0.6071428571428572,0.5,0.5476190476190477,0.4458874458874459,4.6875000000000004e-06,0.84375,0.0,2.0,easy|medium|hard
test,0,1,16,32,0.5294333239871776,8.810225823996007,8.810857182004838,0.7031617164611816,0.375,0.46875,0.44509803921568625,0.36374269005847953,5e-06,1.0,0.0,2.0,medium|hard|easy
test,0,1,17,32,0.5316611529997317,9.342446062000818,9.343077472003642,0.7137125134468079,0.5,0.5,0.5,0.3816425120772947,5.3125e-06,0.96875,0.0,2.0,easy|medium|hard
test,0,1,18,32,0.530965384998126,9.873998459996074,9.874629809011822,0.6926611065864563,0.5333333333333333,0.5625,0.5079365079365079,0.4166666666666667,5.625e-06,1.03125,0.0,2.0,hard|medium|easy
test,0,1,19,32,0.5300209629931487,10.404578625006252,10.405210039010854,0.698905348777771,0.5,0.5,0.5,0.4181818181818182,5.9375e-06,0.90625,0.0,2.0,easy|medium|hard
test,0,1,20,32,0.5310508330003358,10.936161175006418,10.936792626001989,0.7028040885925293,0.4542857142857143,0.46875,0.46875,0.4231177094379639,6.25e-06,1.03125,0.0,2.0,easy|hard|medium
test,0,1,21,32,0.5314891080051893,11.468135638002423,11.46876708700438,0.7137325406074524,0.5,0.4375,0.5,0.4285714285714286,6.5625e-06,0.8125,0.0,2.0,easy|hard|medium
test,0,1,22,32,0.5306143119960325,11.999377959000412,12.000009320006939,0.695876955986023,0.5192307692307692,0.53125,0.5117647058823529,0.4684385382059801,6.875e-06,0.90625,0.0,2.0,hard|easy|medium
test,0,1,23,32,0.5307328539929586,12.530719125003088,12.531350497010862,0.6907101273536682,0.5,0.5,0.5,0.4920634920634921,7.1875e-06,0.8125,0.0,2.0,easy|medium|hard
test,0,1,24,32,0.5310889099928318,13.06233802200586,13.06296938000014,0.6675252318382263,0.532051282051282,0.65625,0.5241545893719807,0.5210884353741496,7.500000000000001e-06,1.25,0.0,2.0,medium|hard|easy
test,0,1,25,32,0.5307606179994764,13.59370042399678,13.594331839005463,0.6906651258468628,0.4107142857142857,0.53125,0.4595141700404858,0.3992490613266583,7.8125e-06,1.03125,0.0,2.0,hard|medium|easy
test,0,1,26,32,0.5298335340048652,14.124062786999275,14.124694210011512,0.6949443817138672,0.6428571428571428,0.5625,0.5625,0.49090909090909085,8.125000000000001e-06,1.0,0.0,2.0,hard|easy|medium
test,0,1,27,32,0.5313327220064821,14.655963083001552,14.65659445100755,0.6948457956314087,0.39743589743589747,0.4375,0.4375,0.37662337662337664,8.4375e-06,0.90625,0.0,2.0,easy|hard|medium
test,0,1,28,32,0.530204238006263,15.186673414005782,15.187304823004524,0.6856588125228882,0.5747126436781609,0.5,0.5254901960784314,0.4181818181818182,8.750000000000001e-06,0.84375,0.0,2.0,hard|medium|easy
